Index,Category,Condition,Paragraphe,Adapt_Poso,Anticholinergiques selon l'ANSM,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,Co-prescription anticholinestérasiques :,Attention ! La co-prescription d'un anticholinestérasique [Indiquer lequel] avec ce médicament anticholinergique expose à un risque de diminution de l'efficacité de l'anticholinestérasique par antagonisme des récepteurs de l'acétylcholine par l'action anticholinergique de l'alimemazine. À réévaluer.,(À TRAITER),1,1,1,1,1,1,0,0,0,,
Alprazolam [XANAX],Contrôle des indications :,Prise uniquement au coucher :,"Prise en charge de l’insomnie. Médicament à l’origine de troubles cognitifs, confusionnels et de chutes. Rappel : Le traitement médicamenteux de l’insomnie doit être de courte durée (comprenant la phase d’arrêt progressif) afin d’éviter un risque d’abus et de dépendance qui augmente avec la durée du traitement.",(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des indications :,Prises réparties dans la journée sans antécédent d’anxiété :,"Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Pas d’ATCD dans le dossier médical. Médicament à l’origine de troubles cognitifs, confusionnels et de chutes. Privilégier la posologie minimale efficace. Attention au risque d’abus et de dépendance, ainsi qu’à la tolérance pharmacologique qui nécessite d’augmenter toujours plus les doses afin de retrouver un effet anxiolytique.",(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des indications :,Antécédent de sevrage alcoolique :,Prévention et traitement du delirium tremens et des autres manifestations du sevrage alcoolique. A reprendre.,(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des posologies :,Poso > 2 mg/jour :,"Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Pas d’ATCD dans le dossier médical. Pas de preuve d’efficacité supérieure aux doses supérieurs à 2 mg/j avec majoration des troubles cognitifs et confusionnels et majoration du risque de chute. Privilégier la posologie minimale efficace. Attention au risque d’abus et de dépendance, ainsi qu’à la tolérance pharmacologique qui nécessite d’augmenter toujours plus les doses afin de retrouver un effet anxiolytique.",(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des contre-indications et précautions d'emploi :,Prises réparties dans la journée et antécédent de troubles cognitifs :,"Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Patient aux antécédents de troubles cognitifs : Risque d’aggravation des troubles cognitifs et/ou apparition d’un syndrome confusionnel par la benzodiazépine avec risque de chutes. Préconiser un arrêt progressif en privilégiant, en cas de nécessité d’une approche pharmacologique, pour une anxiété chronique (évoluant depuis au moins 6 mois) : un traitement de fond par antidépresseurs (Sertraline ou Miansérine).",(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des contre-indications et précautions d'emploi :,Antécédent de syndrome d'apnée obstructif du sommeil (SAOS) et prise le soir ou au couché :,Attention ! Les benzodiazépines sont contre-indiqués chez les patients aux antécédents de syndrome d'apnée obstructif du sommeil (SAOS). Préconiser un arrêt PROGRESSIF de la benzodiazépine.,(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des contre-indications et précautions d'emploi :,Antécédent de myasthénie :,Attention ! Avec leur composante myorelaxante les benzodiazépines sont contre-indiqués chez les patients (notamment les personnes âgées) aux antécédents de myasthénie. Préconiser un arrêt PROGRESSIF de la benzodiazépine.,(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des contre-indications et précautions d'emploi :,Patient admis aux urgences pour insuffisance respiratoire :,Attention ! Médicament aggravant l’insuffisance respiratoire.,(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Contrôle des intéractions médicamenteuses :,Utilisation concomitante d’une autre benzodiazépine (anxio ou hypno) au même moment de la journée :,"Potentialisation des effets indésirables (troubles cognitifs, syndrome confusionnel, troubles de la vigilance, chutes) sans augmentation de l’efficacité.",(À TRAITER),0,1,1,0,1,0,0,0,0,0,0
Amantadine [MANTADIX],,(À TRAITER),(À TRAITER),(À TRAITER),0,2,2,0,0,0,0,0,0,1,0
Amiloride seul [MODAMIDE],Contrôle des indications :,Antécédent d’HTA stratégie thérapeutique incomplète (sans diurétiques hypokaliémiant) :,Traitement adjuvant de l’HTA. Attention médicament utilisé pour prévenir la déplétion potassique chez les malades qui reçoivent des thiazidiques ou des diurétiques de l’anse. Privilégier de compléter la stratégie thérapeutique avec un diurétique hypokaliémiant avant d’instaurer l’amiloride. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. Surveiller la kaliémie.,(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Contrôle des indications :,Antécédent d’HTA stratégie thérapeutique complète :,"Traitement adjuvant de l’HTA , notamment pour prévenir la déplétion potassique chez les malades qui reçoivent des thiazidiques ou des diurétiques de l’anse. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. Surveiller la kaliémie. A poursuivre.",(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Contrôle des indications :,Antécédent d’ascite et œdèmes des cirrhotiques :,Prise en charge de l’ascite et œdèmes des cirrhotiques. Attention médicament hyperkaliémiant. A poursuivre.,(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Contrôle des indications :,Antécédent d’œdème d’origine cardiaque :,Prise en charge d’œdème d’origine cardiaque. Attention médicament hyperkaliémiant. A poursuivre.,(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Contrôle des contre-indications et précautions d'emploi :,Kaliémie > 5.5mmol/L :,ATTENTION ! Medicament contre-indiqué en cas d’hyperkaliémie. Préconiser l’arrêt immédiat de l’amiloride.,(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Amiodarone [CORDARONE],Contrôle des indications :,Antécédent de FA (Fibrillation Auriculaire) :,"Traitement et prévention des récidives de fibrillation auriculaire paroxystique, persistante ou permanente symptomatique. Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT.",(À TRAITER),0,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],Contrôle des indications :,Antécédent de troubles du rythme ventriculaire :,"Traitement et prévention des récidives de troubles du rythme ventriculaire documentés, symptomatiques et invalidantes. Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT.",(À TRAITER),0,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],Contrôle des posologies :,Posologie 5 jours sur 7 :,"Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT. Aucune étude ne montre les bénéfices de la posologie « 5 jours sur 7 » qui a été déterminée de façon empirique pour palier la longue demi-vie de l’amiodarone (20 jours). L’important est de rechercher la posologie minimale efficace, variable selon les patients, après la dose de charge, qui est de 1/2 comprimé à 2 comprimés, à prendre tous les jours pour une meilleure observance (moins d’oubli).",(À TRAITER),0,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],Contrôle des intéractions médicamenteuses :,Co-prescription de médicament torsadogène (voir liste des torsadogènes) :,"Attention médicament torsadogène [contre-indiqué avec le [Citalopram, Escitalopram, Dompéridone, Hydroxyzine][déconseillé avec le [sulpiride/haloperidol/donepezil]] à cause du risque d’allongement du QT menant à une torsade de pointe.",(À TRAITER),0,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],Contrôle des intéractions médicamenteuses :,Co-prescription de Dabigatran :,"Attention, précaution d’emploi entre l’amiodarone et le dabigatran. Les activités inhibitrices du CYP 3A4 et des P-gP de l’amiodarone augmentent les concentrations plasmatiques du dabigatran, avec majoration du risque de saignement.",(À TRAITER),0,0,0,1,0,0,0,0,1,0,0
Amisulpride [SOLIAN],,(À TRAITER),(À TRAITER),(À TRAITER),0,0,0,0,1,0,0,0,0,1,0
Amlodipine [AMLOR],Contrôle des indications :,Antécédent d’HTA :,Prise en charge de l’HTA. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. A reprendre.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Amlodipine [AMLOR],Contrôle des indications :,Antécédent d’angor (=co-prescription trinitrine et béta-bloquant) :,Prise en charge symptomatique de l’angor. A reprendre.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Amoxapine [DEFANYL],,(À TRAITER),(À TRAITER),(À TRAITER),1,3,3,0,0,1,0,0,0,1,1
Amoxapine [DEFANYL],,A rajouter si patient épileptique :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,(À TRAITER),1,3,3,0,0,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des indications :,Aucun antécédent retrouvé dans le dossier médical :,"Traitement de 2ème ou 3ème intention des épisodes dépressifs majeurs caractérisés (selon le DSM-V) résistantes ou prise en charge de douleurs neuropathiques. Pas d’antécédent dans le dossier médical. Médicament anticholinergique (avec effets périphériques et centraux), cardiotoxique (effet stabilisant de membrane), sédatif (antagoniste H1 central) et à risque d’hypotension orthostatique (activité alpha1 bloquante) et par conséquent, de chutes. Revoir l’indication et la balance bénéfice-risque.",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des indications :,Antécédent d'épisode dépressif majeur : ,"Traitement de 2ème ou 3ème intention des épisodes dépressifs majeurs caractérisés (selon le DSM-V) résistantes. Médicament inapproprié chez la personne âgée : Médicament anticholinergique (avec effets périphériques et centraux), cardiotoxique (effet stabilisant de membrane), sédatif (antagoniste H1 central) et à risque d’hypotension orthostatique (activité alpha1 bloquante) et par conséquent, de chutes. Revoir la balance bénéfice-risque (si possible privilégier la Sertraline ou la Miansérine).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des indications :,Antécédent de douleurs neuropathiques : ,"Prise en charge des douleurs neuropathiques. Médicament inapproprié chez la personne âgée : Médicament anticholinergique (avec effets périphériques et centraux), cardiotoxique (effet stabilisant de membrane), sédatif (antagoniste H1 central) et à risque d’hypotension orthostatique (activité alpha1 bloquante) et par conséquent, de chutes. Revoir la balance bénéfice-risque (si possible privilégier la Gabapentine).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des indications :,Antécédent de migraine (co-prescription traitement de crise) :,"Traitement de fond de la migraine. Médicament inapproprié chez la personne âgée : Médicament anticholinergique (avec effets périphériques et centraux), cardiotoxique (effet stabilisant de membrane), sédatif (antagoniste H1 central) et à risque d’hypotension orthostatique (activité alpha1 bloquante) et par conséquent, de chutes. Revoir la balance bénéfice-risque (si possible privilégier le métoprolol en l'absence de contre-indication).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des contre-indications et précautions d'emploi :,Antécédent épilepsie :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des contre-indications et précautions d'emploi :,"Antécédent d'hypertrophie bénigne de la prostate (co-prescription d'alfusozine, tamsulosine, permixon, tadenan, finastéride, dutastéride ou combodart) :","Médicament anticholinergique contre-indiqué chez ce patient atteint d’une hypertrophie bénigne de la prostate. Préconiser l’arrêt de l'amitriptyline. Si un traitement pharmacologique est nécéssaire, privilégier un traitement antidépresseur dépourvu de propriétés anticholinergiques tel que la Sertraline (meilleur rapport bénéfice-risque chez la personne âgée).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des contre-indications et précautions d'emploi :,Antécédent de glaucome à angle fermé :,"Médicament anticholinergique contre-indiqué chez ce patient présentant un antécédent de glaucome à angle fermé. Préconiser l’arrêt de l'amitriptyline. Si un traitement pharmacologique est nécéssaire, privilégier un traitement antidépresseur dépourvu de propriétés anticholinergiques tel que la Sertraline (meilleur rapport bénéfice-risque chez la personne âgée).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des contre-indications et précautions d'emploi :,Patient admis aux urgences pour globe vésical :,"Médicament anticholinergique contre-indiqué chez ce patient admis aux urgences pour globe vésical. Préconiser l’arrêt de l'amitriptyline. Si un traitement pharmacologique est nécéssaire, privilégier un traitement antidépresseur dépourvu de propriétés anticholinergiques tel que la Sertraline (meilleur rapport bénéfice-risque chez la personne âgée).",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des intéractions médicamenteuses :,Co-prescription de tramadol/lithium/millepertuis :,"Attention, le risque de syndrome sérotoninergique (rare mais grave) est majoré avec le [tramadol/lithium/millepertuis]. Préconiser l’arrêt du [tramadol/millepertuis].",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des intéractions médicamenteuses :,Co-prescription médicaments anticholinergiques (voir listes des anticholinergiques) :,"Attention ! La co-prescription du [Inserer le nom du médicament], autre médicament anticholinergique, expose à une une addition des effets atropiniques périphériques (constipation, rétention urinaire, trouble de l’accomodation, tachycardie) et centraux (troubles confusionnels). À proscrire chez la personne âgée. Réévaluer la balance bénéfice-risque et préconiser l'arrêt d'un de ces 2 médicaments.",(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],Contrôle des intéractions médicamenteuses :,Co-prescription anticholinestérasiques :,Attention ! La co-prescription d'un anticholinestérasique [Indiquer lequel] avec ce médicament anticholinergique expose à un risque de diminution de l'efficacité de l'anticholinestérasique par antagonisme des récepteurs de l'acétylcholine par l'action anticholinergique de l'amitryptiline. À réévaluer.,(À TRAITER),1,3,3,0,1,1,0,0,0,1,1
Anti-inflammatoires non steroïdiens locaux [IBUFETUM / KETUM / FLECTOR].,Contrôle des contre-indications et précautions d'emploi :,Par défaut :,"Attention aux AINS locaux chez la personne âgée, possible passage cutané plus important (peau plus fine). Surveillance créatinine.",(À TRAITER),0,0,0,0,0,0,0,1,0,0,0
Apixaban [ELIQUIS],,Prévention AVC si FA et poso adaptée :,Prévention du risque cérébrovasculaire suite au diagnostic d’une fibrillation auriculaire. Posologie adaptée. A reprendre.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],,Prévention AVC si FA et poso non adaptée :,"Attention, cette posologie n’est pas recommandée en cas de fibrillation auriculaire. Chez le patient présentant au moins 2 des caractéristiques suivantes : âge supérieur à 80ans, poids inférieur à  60 kg, créatinine supérieure à 133µmol/L, la posologie est de 2,5 mg, 2 fois par jour.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],,Prévention TVP et EP :,Prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. À poursuivre.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],,Rappel des interactions médicamenteuses :,"Association déconseillée avec l’apixaban : AINS, Inducteurs enzymatiques anticonvulsivants, rifampicine, fluconazole et Inhibiteur puissant du 3A4 (voir liste thésaurus ANSM)",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Apomorphine [APOKINON],Contrôle des indications :,Antécédent de Parkinson :,"Prise en charge de la maladie de Parkinson. Attention, médicament à l’origine d’endormissement brusque et d’hypotension orthostatique, et par conséquent, de chute. A prendre en compte. A poursuivre.",(À TRAITER),0,0,0,0,0,0,0,0,0,1,0
Aripiprazole [ABILIFY],Contrôle des indications :,AVEC Antécédent de schizophrénie ou trouble bipolaire :,"Prise en charge de la schizophrénie ou des épisodes maniaques du trouble bipolaire. Médicament sujet à l’hypotension orthostatique et, par conséquent, de chute (Vigilance). A poursuivre.",(À TRAITER),0,0,0,0,1,0,0,0,0,1,1
Aripiprazole [ABILIFY],Contrôle des indications :,SANS Antécédent de schizophrénie ou trouble bipolaire :,"Pas d’antécédent de schizophrénie ou trouble bipolaire dans le dossier médical. Rappel : les antipsychotiques exposent à un risque accru d’AVC, d’hypotension orthostatique et syndrome extrapyramidal avec risque de chute et sont responsables d’un taux plus élevé de déclin cognitif et de mortalité chez les sujets atteints de démence. A éviter pour les problèmes comportementaux de la démence ou du délire, sauf lorsqu'il existe un risque de préjudice pour le patient lui-même ou son entourage. ",(À TRAITER),0,0,0,0,1,0,0,0,0,1,1
Aspirine faible dose [KARDEGIC / RESITUNE / ASPIRINE PROTECT],Contrôle des indications :,"Antécédent de cardiopathie ischémique (SCA ST+ (=Infarctus du myocarde) ou ST-(=Angor instable), SCC (=Angor stable), AIT, AVC ischémique, AOMI) :","Prévention, secondaire à une pathologie artérielle ischémique confirmée [indiquer laquelle + si possible la date], des complications cardiovasculaires et/ou cérébrovasculaires liées à l'athérosclérose. A reprendre.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Aspirine faible dose [KARDEGIC / RESITUNE / ASPIRINE PROTECT],Contrôle des indications :,En association avec le clopidogrel ou autre AAP après plus de 12 mois :,Revoir la balance bénéfice-risque du maintien d’une bithérapie antiagrégant plaquettaire [X mois/années] après [le SCA et/ou la pose d’un stent].,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Aspirine faible dose [KARDEGIC / RESITUNE / ASPIRINE PROTECT],Contrôle des intéractions médicamenteuses :,Co-prescription Nicorandil :,Attention ! Association déconseillée entre le nicorandil et le [Kardegic/Resitune/Aspirine faible dose] à cause d’une majoration du risque ulcérogène et hémorragique digestif (Thésaurus de l’ANSM 2020). Préconiser l’arrêt du traitement par nicorandil en privilégiant la trinitrine en patch à libération prolongée.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
